Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Laptop Apple MacBook Air 13" 2019 MVFM2SA/A (Core i5/8GB/128GB SSD/UHD 617/macOS/1.3 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/gk4c-szZU2XlrrQGkOaM56bi-4E5l6XgiMnZLdv-s3TH9PqlB65-ooVdvcl71XkKzZiL9as1Zl5Ww8g_-WQ=w500-rw
Laptop Apple MacBook Air 13" 2019 MVFL2SA/A (Core i5/8GB/256GB SSD/UHD 617/macOS/1.3 kg),None,36.990.000đ,https://lh3.googleusercontent.com/EdLLoLMtdb-eIbE6Egm2FxMfFIhM8fS1bqofnmQyvCzMxw10rl6IcdschPlNn-dQEdKN5WJuTq1Gjetzdg=w500-rw
Laptop Apple MacBook Air 13" 2019 MVFN2SA/A (Core i5/8GB/256GB SSD/UHD 617/macOS/1.3 kg),None,36.990.000đ,https://lh3.googleusercontent.com/HpIeBeBl9TBMm6VAEI68xV_xa7wfqIRqRxjKdwo7uawK-F1ZnLdIDe3c75Zpfvw9hE5Ql3VZXPCNHsxyTN4=w500-rw
Laptop Acer Swift 3 SF314-41-R4J1 (NX.HFDSV.001) (14" FHD/R3-3200U/4GB/256GB SSD/Radeon Vega 3/Win10/1.5 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/AtKOMS2LLkOH1M8Nu5UNaU3Ua8aVEyGSBaGobaeY1B7317fRrl13MQGFWWwUn9FUq2jITuf-IFzkY9WUGDQ=w500-rw
Laptop HP 14s-dk0097AU 7VH92PA ( 14" HD/AMD Ryzen 3 3200U/4GB/1TB HDD/Windows 10 Home 64-bit/1.5kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/2L9uThswZ1hqx5dDKP_OhSxp8qWFWVaczy9eX8Acu1TXLyIiq0EsS3_5adpGf8Ajj4G9bIeFu5lR9fQDEg=w500-rw
Laptop ASUS ROG Strix G G531GT-AL017T (15" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.3 kg),None,27.990.000đ,https://lh3.googleusercontent.com/w7E056HkyS1D5XNkuOtlPS-GAk3PjqOyLajj7SZrjgkXc9eMS0_wIOQA4GLjcmajXVp5xEkG14gRjylFKA=w500-rw
Laptop Acer Nitro 5 AN515-54-51X1 (NH.Q5ASV.011) (15" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/Q6HxE7rT4hmUMK6V1-aNFV-7cYpiK53Z8_V69rrshYbzgGb5qeCGshQoCqndH1ARnJ1ZPgNrWPpBmvN7SPbG=w500-rw
Laptop Acer Nitro 5 AN515-54-71HS (NH.Q59SV.018) (15" FHD/i7-9750H/8GB/256GB SSD/GTX 1650/Win10/2.3 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/ewjihOnI28IqXrIA-perUUK4BoIz45flk9AGCsvVjluTL27YJT4LxW0RkfDsBjCWqw6RYJSaA0yQuBnOrg=w500-rw
Laptop Acer Swift 3 SF314-41-R8VS (NX.HFDSV.002) (14" FHD/R5-3500U/4GB/256GB SSD/Radeon Vega 8/Win10/1.5 kg),14.990.000đ,13.990.000đ,https://lh3.googleusercontent.com/AJtIeAYAaNzDpReNMb_j5Wj0-oYW3GcuBXp98vKfaN3VXplUMqufvcArSf6c2l2ImuRuK5qg0VK_AwL0Gg=w500-rw
Laptop Acer Aspire 5 A514-52-54L3 (NX.HDTSV.003) (14" FHD/i5-8265U/4GB/1TB HDD/UHD 620/Win10/1.7 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/6pUPatR3mrTdMRcKf0MFzRXDr-uFlGrbtH5aym-yEjelC3ZI-wZQlNT23EJ8yi5hCN0e9Rt4obFZ4rZyjQE=w500-rw
Laptop Apple MacBook Pro 2019 13" MUHN2SA/A (Core i5/8GB/128GB SSD/Iris Plus Graphics 645/macOS/1.4 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/Qr61V4rWUUwea2evbMa1QiXFRAcTEa10t-aPvv8v5J3VyuKZS_Q7izJDW9MUudUcN_AFhD9Uc38WyXqTOA=w500-rw
Laptop Dell G3 15 3590-N5I5517W (15" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/7u1ADqRL2Pod00m5jOMM7Q50bJoxKuD4DcWFdVUzZG6cFIOW7vFTE7qX4EB5t1icfXJ0ng91sQMpK1FUkYI7=w500-rw
Laptop Acer Aspire 3 A315-54-36QY (NX.HM2SV.001) (15" FHD/i3-10110U/4GB/256GB SSD/Intel UHD/Win10/1.7 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/AQI3N80qyzsttLmTJjQJTxbyHOMcYsezKbq9U9dcbOji7OMBCw44FMZQcLrHk_fWLNth07AkA_PGptyQDQ=w500-rw
