Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Tản nước AIO ASUS ROG RYUJIN 360,None,7.490.000đ,https://lh3.googleusercontent.com/NJR5wBLLiziTPAtOFp-48QtsIqEAXrZyWt2nxCjDnoFHimsowlFWqxbi7nJ6tnv7f6W6E1pgQbkrRRam=w500-rw
Mainboard ASUS EX-B365M-V5,None,LIÊN HỆ,https://lh3.googleusercontent.com/erYs0rC8ihwn-6_ZFkcjiCw6mWGKl_NPc-hdhmAAWIHuta9_gFuIe5RwL22W_MfOzTeQMcTlSGc9KsX_tD0=w500-rw
Quạt Case Cooler Master Masterfan SF360R ARGB,None,1.195.000đ,https://lh3.googleusercontent.com/CwGsTp3SVQP5-1DE8ouU_J4gC-3G2FlrvTjHUGXFZsbQG782Zt98GvwYPOf7gXW6-YldjHDF9KSpgS4NQbE=w500-rw
Card màn hình NVIDIA Quadro P2200 5GB GDDR5X,None,11.299.000đ,https://lh3.googleusercontent.com/qmmd22m1UWsiOB78DzltoX4GakXKwy-Es0sjz6qE5CZj67Ocflu87xXo6Ht3-Sic557AjEVOEtRojALsl9o=w500-rw
Card màn hình ASUS TUF Gaming X3 Radeon RX 5700 OC 8GB GDDR6,None,LIÊN HỆ,https://lh3.googleusercontent.com/ALJ9Qii8ZIxg2BkxYIOaCbbgtKeA2MPwMDjYN17YJPMwn4iefjWvW4mkHKx8R84g7D18PRMORj3dB4gi66I=w500-rw
Ổ cứng HDD Seagate Backup Plus Portable 5TB 2.5" 3.0 (STHP5000400) (Đen),None,5.390.000đ,https://lh3.googleusercontent.com/QODMkfftIyhgVHw4MQmrh1APOQAihe1elmQNay0ygOHw4SwDNDxIkeK8ZAxOBkg3CdGipl8lB0bScVlJNQ=w500-rw
Ổ cứng HDD Seagate Backup Plus Portable 5TB 2.5" 3.0 (STHP5000402) (Xanh),None,5.390.000đ,https://lh3.googleusercontent.com/RvkUtlZb_LanO0qSkRs1L0-rtUunUnVgvjk0hPMef2P-jBrGmXZswTqj4orO2fA9lzahtBLmJmakcZYr4p9M=w500-rw
Card màn hình ASUS ROG Strix RTX 2060 Super OC EVO 8GB GAMING,None,LIÊN HỆ,https://lh3.googleusercontent.com/tTPv_l7cVlZzILCIqzk8iSqXaSAt2iw-NVzRDqznycUCBu-GINyv5LLQDZiUPpz25M7kjyW03st701tbzWw=w500-rw
Thùng máy/ Case MSI MAG VAMPIRIC 010M,None,LIÊN HỆ,https://lh3.googleusercontent.com/mN1NFQLcXb3r25hhdzODsw43Rn4-QWg9qM35kcEYmYjE-1feyqrfZ9KXRZZ-vljTMwaBr1H8ImY3qk7MtNY=w500-rw
Thùng máy/ Case Aerocool Night Hawk,None,990.000đ,https://lh3.googleusercontent.com/OkJuUEq-elMJDGMUwtBjXqlGhPUKGDKZ8C8SUA8aYNE95Pt38g-0rpm99f-dxD6uHGFw1UvWDU_8efWadg=w500-rw
Thùng máy/ Case Aerocool Bolt BG,None,690.000đ,https://lh3.googleusercontent.com/UVtuxR1U-RFDuapDrLTDr5mASE6TeL63aJGHG3oU6PEMWDx2ySrcBDtdy9yp4y9ONMU5geLSltaXeAcmG-s=w500-rw
Thùng máy/ Case Aerocool Streak- Led RGB,None,549.000đ,https://lh3.googleusercontent.com/jNDmhm8nvsYrkoMTtmWAmI5fN_Uq0bbA95-Y7iUhL9fY9lQiDNppZVc1JBxoZkc8t9-yugxuk_NwI9-s5oc=w500-rw
CPU AMD Ryzen 5 3500X (6C/6T - 3.6 GHz up to 4.1 GHz - 32MB) - AM4,None,3.790.000đ,https://lh3.googleusercontent.com/-UBpJAIylk0T_R5MBxuAoZXp73K_-1mHcFojePjcd6H4hj_4KZbQepGGQgpGS1rATCTWS0htx1-_u7Hu7EM=w500-rw
Nguồn máy tính GOLDEN FIELD 600W - 80 Plus White,None,1.090.000đ,https://lh3.googleusercontent.com/8-OS5XxRE1UG-l2ydbN38o6geHPYm8pZDvj_sqC-0CU_1qH-mNvH4Tu2_BRr_vKe582tH1C59icDOoZo8cM=w500-rw
Nguồn máy tính Golden Field Dragon GTX680 600W,None,960.000đ,https://lh3.googleusercontent.com/Em9oPL4o7ndik7kcqiruae2yv0e0gUGQ8SFKWmd39khH0q8fb0GZCq0bPVl143nBH5p4294qQMNDtTOvew=w500-rw
Nguồn máy tính Golden Field THOR600 500W,None,790.000đ,https://lh3.googleusercontent.com/BXGr9sxDZ5Bq-4LecVvQ2SjiGk8_gI2PaT7S4cptLgC4c8DJnCE5MTF3QacmmHeC6pT81VTvjcYvszlxbro=w500-rw
Cáp Nối Nguồn Cooler Master Sleeved Extension CMA-SEST16XXBK1-GL (Đen),None,670.000đ,https://lh3.googleusercontent.com/yKRWGSe6uMNCu3bG8_EzmquUgQ5AOmiasPEDSZhrfWa5LmfHjo6ztte08POIF5v1hhnKE-evWVJqHfIFWw=w500-rw
Cáp Nối Nguồn Cooler Master Sleeved Extension CMA-SEST16RDBK1-GL (Đỏ Đen),None,670.000đ,https://lh3.googleusercontent.com/Fy9q5-gx4pHS0oqiQg1CBD44WC9jqTZ15I5U5ebGlZHhwPmMIGhlrh-UZwpngtACI59EcMT8NyyBQLNpoFU=w500-rw
