Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Màn hình LCDASUS VA24EHE (1920 x 1080/IPS,3.590.000đ,3.270.000đ,https://lh3.googleusercontent.com/Ugbyo2nBNCqzSYRSu33rGj4tGKx5zTvTJE4erTO3kKghtBXJWZkqmO2JCvfORtnfTBuJ0QxZZDw7v992kHE=w500-rw
Màn hình LCDASUS VA27EHE (1920 x 1080/IPS/75Hz,4.390.000đ,4.190.000đ,https://lh3.googleusercontent.com/ooQ1FV3mlk_l02CE0tuPItmk3CWlmrcC4U39bS4bybykujxohgnxFEv95jC3sRQKWgoqU4JPkrRJ5uF3Vw=w500-rw
Màn Hình cong Samsung 27" LC27F397FHEXXV (1920x1080/VA/60Hz/4ms/FreeSync),4.490.000đ,3.990.000đ,https://lh3.googleusercontent.com/TWuYgvdmxvaqojS2FPmEZroGvLeOae0PgwnFZCzKeMhVenV3VrSs5oOhtm4YCnGLdmhubIC60PQOi6thnsM=w500-rw
Màn hình Samsung 27" LC27R500FHEXXV (1920x1080/VA/60Hz/4ms),4.590.000đ,4.090.000đ,https://lh3.googleusercontent.com/8mThFxGIXRau69hDZQS-gE_WcItwWvlH-N_FQejbTdi4Swz89lbQVd-BO-iWt4sHBSk-N8-6ouDJhWskIRE=w500-rw
Màn hình Acer 21.5" HA220QA (1920 x 1080/IPS/86Hz/4 ms),None,3.110.000đ,https://lh3.googleusercontent.com/VYwISSGVwIWjNUi2-0H9lwazf6kVOzrpKjH_gNXq9w7jmzvdfvT-vTvk1SPR1HtpPy8VUIeKhtK5nnqNEg=w500-rw
Màn hình Philips 19.5" 203V5LHSB2 (1600 x 900/60Hz/6 ms),None,1.830.000đ,https://lh3.googleusercontent.com/z-hx0UbmdqSQwsedU4b5z5XKp2BNwZEDvheFIQKh12ZvA_zoA_ZAvIOGuxiePyUm4ok8y3WSg7yc7FKNg7RC=w500-rw
Màn hình ThinkView 27" G270 (1921 x 1080/PLS/165Hz/2 ms),None,LIÊN HỆ,https://lh3.googleusercontent.com/RHxc7X_hCX1eLumeVQpfJMzmpU93TuxHfvz3UgZdXpCSfKiKGAGLxezK4pa_AE15vrqK9jYmk5K3A6h70mk=w500-rw
Màn hình LCDKhác AORUS KD25F Gaming (1920 x 1080/TN/240Hz/0.5 ms/FreeSync - G-Sync compatible),None,13.490.000đ,https://lh3.googleusercontent.com/nvLreKLcRKDs7cgjw7Wu1GCHq7sywZd7zTHyvVhZnZp1ikQbaU25cnKmCxIOkMFgUTfcjLi0fHa1FFQGVfQ=w500-rw
Màn hình LCDACER ED245QA (1920 x 1080/IPS/75Hz/4 ms,None,3.590.000đ,https://lh3.googleusercontent.com/XnmJ0bBl_UhpLn5DUv7RRuKMtyfq5Zlg-C3diyH79nyjGuEsEOHGN4K82qcob3sF-93kg7AvJsocJGoZz0I=w500-rw
Màn hình LCDACER R241YB (1920 x 1080/IPS/75Hz/1 ms/FreeSync),4.090.000đ,3.750.000đ,https://lh3.googleusercontent.com/o4TKWNgKqPIJVLa84exTsAGXNQvtaSj3WlXclO0BpkXUuhViuD4FtRsuT9oK06M2Ic92FjQIZBdbaI8MrA=w500-rw
Màn hình LCDASUS VP249HE (1920 x 1080/IPS/5 ms,None,3.490.000đ,https://lh3.googleusercontent.com/yDKtFi2kJHh2S8lfAY1HK_UQzXfin0xqRhhJ9sM7ZypNReDX9wasvCAK8sAIJ8lu282FAGUIXJjBOPik9w=w500-rw
Màn hình LCDMSI Optix AG32CV (1920 x 1080/VA/165Hz/1 ms,None,8.060.000đ,https://lh3.googleusercontent.com/wxdhiLDlJks9CJqHrgauk5LwfJuo0E-0rWI1IbKYl7WvpobA8GKAogZBY9Ag3GWMnQIAcHHy4CD88hMDMuw=w500-rw
Màn hình LCDHP P241v (1920 x 1080/IPS/60Hz/5 ms,None,3.380.000đ,https://lh3.googleusercontent.com/8E4R7eTxLw4nieXbK9KQQgXXhm5eu_HM7in7romKavm85sQAV67qzTqD1xWlVxW2mZR8IZ2zdB1T-Ry791A=w500-rw
Màn hình LCDLG 27GL650F-B.ATV (1920 x 1080/IPS/144Hz/1 ms/FreeSync),8.500.000đ,6.990.000đ,https://lh3.googleusercontent.com/WcDlZOcwiaX5XpEukqmtQs-2W4XFhQd61O-4WA7u4wqT-dF_DfEGbxRdF-8LArYwLts3VBZjXELr3xA85bkH=w500-rw
Màn hình LCDSAMSUNG LS22E45UFS/XS (1920 x 1080/TN/60Hz/5 ms,None,2.690.000đ,https://lh3.googleusercontent.com/az-WhEwE6Rv1ZmW1varW3VfVfyRYkzIpxanwkIL9wVj2jNKOsIJNDgBSM1tlKTpAuz_ORTdO3JESZwsB_g=w500-rw
Màn hình LCDSAMSUNG LS27E360FS/XV (1920 x 1080/PLS/60Hz/4 ms,None,4.480.000đ,https://lh3.googleusercontent.com/f5D5Prcj52AYKz6t5GF3V1HqJA8rYyk8Ssqwfo2XisbFGSalrJmFwdhlyP7EIUyN0nL_-d_RiAXYKKNkkBs=w500-rw
Màn hình LCDSAMSUNG LS24F354FHEXXV (1920 x 1080/PLS/60Hz/4 ms/FreeSync),None,LIÊN HỆ,https://lh3.googleusercontent.com/BRcB5-N9ynMauaoLcdWnHTO_8I4pyjG-GCALCdDgfXGXEQMZUCFmt6woDFxRjUCg-NJbXO4BUTKkx3aMNGE=w500-rw
Màn hình LCDSAMSUNG LC27JG54QQE (2560 x 1440/VA/144Hz/4 ms/FreeSync),None,8.989.000đ,https://lh3.googleusercontent.com/fmA-BP_6oAaqoMp3nSC3ahAY8P0o05PS0-qC3iOPjlU4k3G7n9oOMPKAChGC1Sb9ximON1bsKBV0sbNYihk=w500-rw
Màn hình LCDBenQ GW2480 (1920 x 1080/IPS/60Hz/5 ms,None,2.950.000đ,https://lh3.googleusercontent.com/1DAedYPHGmpYsJoz0akewoyEty5lxGBeD4A0RRxrmwQHd8-_3UUzRiLXS4g6XbZuqNl6kfoQUCB5rSbPKA=w500-rw
Màn hình LCDBenQ GW2780 (1920 x 1080/IPS/60Hz/5 ms,None,3.990.000đ,https://lh3.googleusercontent.com/FfH6r5KHXwG_3-3cay_ge2fk8ijvtGJGw_Zp_XGi3u_EHNHQZI3bpp5we7I0ZulGh6iBCAjNNxo6U1U6I-Su=w500-rw
Màn hình LCDLG 27GL850-B.ATV (2560 x 1440/IPS/144Hz/1 ms/FreeSync),None,16.000.000đ,https://lh3.googleusercontent.com/tcus3vrf-NK1G28aeo_D4URGuoEm5x5l_H0aV26sWIAdXUWG2Bt0Bfplwch4jXvgpC6pUH9642hAK3b_Nw=w500-rw
Màn hình LCDDell U3219Q (3840 x 2160/IPS/60Hz/5 ms,None,20.990.000đ,https://lh3.googleusercontent.com/Vw-8mDbJWCfHj--9v5hcNig2_6vFpJq6M8FJyqrvQ-RzWHBeRuWTxmfSSTn978GqerTVT7MQepR8et2NCcI=w500-rw
Màn hình LCDLG 22MK400 (1920 x 1080/TN/75Hz/5 ms/FreeSync),None,LIÊN HỆ,https://lh3.googleusercontent.com/jjCPFgVvAU8y4IovEkPHbAJT_ZFEp9uKZ3iAZRWLkA80oF6IsmKcSMKDzRIo27pIjc4fvS6L0cAlWy-8Jq8=w500-rw
Màn hình LCDASUS TUF GAMING VG27VQ (1920 x 1080/VA/165Hz/1 ms/FreeSync),None,7.990.000đ,https://lh3.googleusercontent.com/ZAjqnXLB8nnq53qQ9d3Pmta8V0qpFQXzDv-n5zOpUBCRyNC5B7Sv-lZh7Sk0VqZHYmXra_f6iRvJkKm7Kws=w500-rw
Màn hình LCDDell U2419HC (1920 x 1080/IPS/60Hz/5 ms,None,LIÊN HỆ,https://lh3.googleusercontent.com/HtbaM5JYI2wxLT7V-L_QJzIPQqfOXphayFNjS7KGEmj4We5NSC78txru_80vesHBGiBSyGSUWmaR4BzAo5va=w500-rw
