Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
PC Intel NUC BOXNUC5PPYH,None,4.690.000đ,https://lh3.googleusercontent.com/JQRhyATSlQE8VM8Bc71s2wJLpufYpDJ0kW1Rq0KPKcIaQrU-kPQYHgqv9OHVCPfZ-6EzblPev7lu4gUnIA=w500-rw
PC Intel NUC Kit NUC7CJYH2 June Canyon (Celeron J4005),None,3.990.000đ,https://lh3.googleusercontent.com/977AlXhXZCz66Ns31BdJ5nWDpC-H1eZ2Yh3Ty-B87p7dihkLn9vE5F1zXj-SAylzUikamX561nyJ6FpWV582=w500-rw
PC Intel NUC Kit NUC8i3BEH (i3-8109U),None,7.790.000đ,https://lh3.googleusercontent.com/oBmRIwAkD2o_POFRnWrvPSb7kf4JYOXmpZ7s3C3SBWwhlGnh2IlJkyyeoselfuVF2YYN4poHG3gULCjfVauh=w500-rw
PC Dell Inspiron 3470 ST V8X6M2 (i3-9100/4GB/1TB HDD/UHD 630/Ubuntu),None,LIÊN HỆ,https://lh3.googleusercontent.com/AFOSNc4lP29S3EMjnVm3jzai6_v7ekxjdPTXs-w7ItG0ajl7YmGeB7XNpFMox5jhMIUrMK4xb0946FRqj00=w500-rw
PC HP AIO EliteOne 800 G5 8GA59PA (23.8" FHD/i5-9500/8GB/1TB HDD/UHD 630/Win10),None,29.590.000đ,https://lh3.googleusercontent.com/xrCOPXBIURNATRuhnfI-O6JNnHGSG0gx6zFESLkq6uVPTy-ZktxtVZfKOsYG1knWf7zhPB7EukKiH0Hvrg=w500-rw
PC HP 280 G3 SFF 7JB28PA (i3-9100/4GB/1TB HDD/UHD 630/Free DOS),None,9.590.000đ,https://lh3.googleusercontent.com/VWmMA1f6OCXHwKux-SasxME5wKulbUIW96mpqbqT0Wkd0id8FowwFYi3k4LdsoPYSQUwQPXuuNx-K-ISCZU=w500-rw
PC HP ProDesk 400 G6 MT 7YT41PA (Pentium G5420/4GB/256GB SSD/UHD 610/Free DOS),None,LIÊN HỆ,https://lh3.googleusercontent.com/NdD4TjXaIH7U8FXlBlOruYFMDjPeS5iZgS0fiZEnQyfuO_k7yd3FUn7dFsV3Xq6dRaicnTLE2pHUVOYDBjwr=w500-rw
PC HP ProDesk 400 G6 MT 7YH46PA (i3-9100/4GB/256GB SSD/UHD 630/Free DOS),None,LIÊN HỆ,https://lh3.googleusercontent.com/CmsWwp8AuHb_ogaDxymTTPPx1HIQ6VMJwzwHnaa4V3QSApYqDDRlS5n0B1mcCCL5BXa-50BIbOtHkLL5IQk=w500-rw
PC HP ProDesk 400 G6 SFF 7YC99PA (i3-9100/4GB/256GB SSD/UHD 630/Free DOS),None,10.090.000đ,https://lh3.googleusercontent.com/w4DsiSzhF7mWMczwChisA3zFtBvhQF4wS4T7kOZ82dtaA7xnNqCveAJQsrvYoMiOsESulSlPipVK1KBZu9Q=w500-rw
PC HP ProDesk 400 G6 MT 7YH20PA (i3-9100/4GB/1TB HDD/UHD 630/Free DOS),None,10.090.000đ,https://lh3.googleusercontent.com/WrWrnH97nvFZT0o2-6CO_Mqo47lJw7tjVTSr-UbK3ST-Z_gUchSqP3kfz09iaIXdZ9pxQBzE43_E-Q0qMdc=w500-rw
