Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Chuột máy tính không dây Microsoft Wireless Mobile Mouse 1850 (Đen),350.000đ,279.000đ,https://lh3.googleusercontent.com/OohBfuLh9gKzeqQqS5o8uk7vGyD7KSYKHgljC_6NHNxTY-gnelxgiaALZqH8NIv7U4XmwJENx9V6x2sE8Q=w500-rw
Bàn phím FL Esports K180R Led (Đen Bạc),None,1.220.000đ,https://lh3.googleusercontent.com/m4MTM23dJlnMqrkQdFsD9gzoMMRoZvLVOp2mtcWBJ3hAH21i_GhOmS0ALFcrrYeOYCgQopcOOrfMUYFkAg=w500-rw
Miếng lót chuột Dareu ESP100  (Size M/5mm),None,149.000đ,https://lh3.googleusercontent.com/k1GjZOgyWtKu6GSjs0p2kmA0Pt7vEnQowaa3MRzcZEKqD-P3jILZewqfhwFOl_AFEDK_o9d_kAnvQavctMA=w500-rw
Chuột gaming CorSAIR Ironclaw,None,1.790.000đ,https://lh3.googleusercontent.com/ZMYd3uspIuDKSXs2pXbUxFObJtqbEC74WoELoFtV0YiV5C67vvcHvBrvMeK9dW884Yulqh94gJmYwbVPsw=w500-rw
Chuột máy tính DARE-U EM908,399.000đ,299.000đ,https://lh3.googleusercontent.com/OG_LAurr9Wa7uo28dt2Njnsc7NZbwWmiO0eXYLWk-iyrPOGo64-nhdeoqYvFbf8fBSZr2bCnEfhVDP93P30=w500-rw
Chuột máy tính DARE-U LM115G Multi-color Dragon,None,249.000đ,https://lh3.googleusercontent.com/UGDtXc1L5hdVQOxNlYIf2j16LTc3NrsedEaHanmIx_uSUkTfPSMGgjHBWdRQ5G0vYlo2WJXWEY5wWbz0kfcI=w500-rw
Chuột máy tính DARE-U LM115G Multi-color Lion,None,249.000đ,https://lh3.googleusercontent.com/2oz4W50NTvfmmPv2w4YIZTJRiY0pA-PkTQmT6jrLc2nUEq3Ed7wn1WzchCEt7Ei5Q65uQfPyRHejOc96arE4=w500-rw
Chuột máy tính DARE-U LM115G Multi-color Sheep,None,249.000đ,https://lh3.googleusercontent.com/gM65H4L9l8ebUvLftpUg3ISD8T1hfDSjtotyUbgRgItxjt_8y6_aNH074VxiQSS44gBzHWWS0Mn_42ODfA=w500-rw
Chuột máy tính không dây Micropack MP-716W (Black),None,LIÊN HỆ,https://lh3.googleusercontent.com/FHwc9c3TEdaDTqncHum0N1zXDUCUS2AGuVTy9ti7lCoPAfJsdh81pH7La3SxMP1_1aW-nTVHsUdAmR6Os08=w500-rw
Chuột máy tính không dây Micropack MP-716W (Blue),None,LIÊN HỆ,https://lh3.googleusercontent.com/Sc7ebbQxD0zly-yNCs61qsPQq9I4jguFni9ftrD9EzcKBtjVsBWWnWf6Q6sKOANuzrat6_ddKWVXBZSBAwo=w500-rw
Chuột máy tính không dây Micropack MP-771W ST (Black),169.000đ,129.000đ,https://lh3.googleusercontent.com/RGYv7RKF7vf8u4f3dg5uegmUuVHIhp3fvrb-dJSFL-ky-vOA7yCRe9caFiX1LsmlKc5dF0_Vpm5l_-Gmlqs=w500-rw
Chuột máy tính không dây Micropack MP-771W ST (Grey),169.000đ,129.000đ,https://lh3.googleusercontent.com/S69vQ3hpHbs5Edtn01XQrHquCgqoJWdAX2t-6TeyyltYZ0FP-CRo55GayOn1CbtAx8BXKAM5ZIg1ctxRBL8z=w500-rw
Chuột máy tính không dây Micropack MP-771W ST (Green),169.000đ,129.000đ,https://lh3.googleusercontent.com/CaU3CpMSzDP-Ll5yApf4x5XoDcqso-JWjQphCbDehdOLmJ3w-phXQV-nhf4btHcGeJpBDP7zXlsw5gBh95c=w500-rw
Bàn phím Corsair K70 MK.2 Low Profile MX Speed RGB,None,3.890.000đ,https://lh3.googleusercontent.com/6F63-CRyGE3Ck4rrnt4vU9Oc5fHcPbpcNzsK6qPKLACGs7-fgP6JMwVVeb1avlDkBCwngQkYF64ARkXM5ZGO=w500-rw
Bàn phím Fuhlen Subverter RGB,None,1.149.000đ,https://lh3.googleusercontent.com/iwkU88lt_0AT2F2Y9zyl4u2QknfzlGAH93VAoOnoshh-50dWY9-puRH4N0p6rft34ZERGJLXji0-QRjA6B0=w500-rw
Chuột gaming Logitech G403 Hero,1.599.000đ,989.000đ,https://lh3.googleusercontent.com/SO0uSwRMGZAYFjLUxAEjiA0BST68peebh_5gMDskE-qL-3iAwM20bsFm_fBdtAtXCM2PQ3DlVUQy5gDxvXkf=w500-rw
